date,state,regime,confidence,prob_sideways,prob_high-volatility,prob_low-volatility
2025-11-15,4,low-volatility,0.9999997051748303,1.16563896809826e-16,0.0,0.9999997051748303
2025-11-16,4,low-volatility,0.9999999616352405,8.865406766937754e-18,0.0,0.9999999616352405
2025-11-17,4,low-volatility,0.9999998708347076,9.086690544244085e-23,0.0,0.9999998708347076
2025-11-18,4,low-volatility,0.99999961609804,1.556625477295511e-23,0.0,0.99999961609804
2025-11-19,4,low-volatility,0.9999997822435727,1.6676287836992257e-22,0.0,0.9999997822435727
2025-11-20,4,low-volatility,0.9999983766915181,2.7584401134924677e-22,0.0,0.9999983766915181
2025-11-21,4,low-volatility,0.9999980301412354,3.775595609057873e-19,0.0,0.9999980301412354
2025-11-22,4,low-volatility,0.9999993764290264,1.1204129077909304e-16,0.0,0.9999993764290264
2025-11-23,4,low-volatility,0.99999999467218,2.518929536144503e-14,0.0,0.99999999467218
2025-11-24,4,low-volatility,0.999838045486738,6.332451507241362e-19,0.0,0.999838045486738
2025-11-25,4,low-volatility,0.9999972611921055,5.147480094470725e-15,0.0,0.9999972611921055
2025-11-26,4,low-volatility,0.9999999185520243,9.972707581785188e-16,0.0,0.9999999185520243
2025-11-27,4,low-volatility,0.9999998069481721,1.4605897051243285e-19,0.0,0.9999998069481721
2025-11-28,4,low-volatility,0.9999999992908215,1.3764432611625897e-18,0.0,0.9999999992908215
2025-11-29,4,low-volatility,0.9999999954411578,1.2534268574418233e-21,0.0,0.9999999954411578
2025-11-30,4,low-volatility,0.9999999932736046,7.624267297988045e-19,0.0,0.9999999932736046
2025-12-01,4,low-volatility,0.9997492332537183,1.2517123766478827e-15,0.0,0.9997492332537183
2025-12-02,4,low-volatility,0.9421170230958427,9.782934517572016e-12,0.0,0.9421170230958427
2025-12-03,0,sideways,0.9999456001337206,2.7421481362098124e-08,2.2727140917043822e-279,5.375642705289846e-05
2025-12-04,0,sideways,0.9467479643162064,0.00011956793273550518,1.1021710626655922e-268,3.073973658943171e-08
2025-12-05,1,sideways,0.9913034813487784,6.957541317337504e-07,1.6989432244582564e-308,7.029980092169139e-10
2025-12-06,1,sideways,0.9999905065670166,1.9091422080403234e-08,1.859467945e-315,5.859479542726283e-13
2025-12-07,1,sideways,0.9999997191080577,1.0998452364110366e-08,0.0,6.970949940089542e-13
2025-12-08,1,sideways,0.9999998768773897,6.396768799052149e-09,0.0,3.3925252797773877e-13
2025-12-09,1,sideways,0.9999869234809525,1.4199912841950367e-07,0.0,5.021791351507727e-10
2025-12-10,1,sideways,0.9999971695130211,1.1780305847748453e-08,0.0,3.3437396411426214e-08
2025-12-11,1,sideways,0.9999248054069538,1.6879304747018992e-08,0.0,4.954378004667825e-12
2025-12-12,1,sideways,0.9999950183991068,2.638457721300107e-08,0.0,7.300150521081038e-11
2025-12-13,1,sideways,0.9999924473464576,1.2437764340791164e-08,0.0,1.5556019485680117e-09
2025-12-14,1,sideways,0.999984058702201,2.151988972054772e-08,0.0,5.280055228492274e-09
2025-12-15,1,sideways,0.9999872208495886,5.246359077884518e-09,0.0,2.4464932882087416e-11
2025-12-16,1,sideways,0.9999903052961785,8.147568103737047e-08,0.0,3.79013687487263e-09
2025-12-17,1,sideways,0.9999988324223062,2.600461378123774e-09,0.0,4.672236938977428e-10
2025-12-18,1,sideways,0.9999984474159875,6.4219304078825354e-09,0.0,7.538845411913798e-10
2025-12-19,1,sideways,0.9999989912431005,5.6900353364961074e-09,0.0,1.3147452190232784e-09
2025-12-20,1,sideways,0.9999990294754915,5.757618346713744e-09,0.0,1.5191676815231433e-09
2025-12-21,1,sideways,0.9999986380910465,6.826628029882756e-09,0.0,1.879579585934493e-09
