date,state,regime,confidence,prob_sideways,prob_bull,prob_bear,prob_high-volatility,prob_low-volatility
2025-09-15,0,sideways,0.999857775050923,0.999857775050923,6.220829926991938e-05,1.033008619797039e-08,1.5103880659054406e-21,8.000631969685946e-05
2025-09-16,0,sideways,0.9985281443747309,0.9985281443747309,0.00099732347548277,2.1509651687829617e-08,1.1185491880973156e-21,0.0004745106400544525
2025-09-17,0,sideways,0.9696776303360989,0.9696776303360989,0.025320537301112472,2.1446135467056475e-06,6.573622296000183e-26,0.004999687749248006
2025-09-18,1,bull,0.5795840097849364,0.36722717334823474,0.5795840097849364,0.019346658926373782,1.154408521612294e-33,0.03384215794042115
2025-09-19,2,bear,0.532363467894294,0.010632565165330492,0.4555711184304097,0.532363467894294,1.720844469465632e-35,0.0014328485098642335
2025-09-20,2,bear,0.9754508851940618,0.0018303275455080412,0.022682580560574615,0.9754508851940618,4.86008005933696e-34,3.620669983392316e-05
2025-09-21,2,bear,0.9973866567065809,0.0007848997765445182,0.0018265738245981347,0.9973866567065809,1.1236405527806627e-34,1.86969228774968e-06
2025-09-22,2,bear,0.9988200844389009,0.0006263906504689452,0.0005496773481110185,0.9988200844389009,4.079938212594436e-31,3.847562420095941e-06
2025-09-23,2,bear,0.998780512004195,0.0008602546271747983,0.0003589651748509534,0.998780512004195,3.773254031061663e-35,2.6819370384091314e-07
2025-09-24,2,bear,0.9960218105089692,0.003685487679138673,0.00029268589704708326,0.9960218105089692,7.873646101738597e-39,1.5914918331289393e-08
2025-09-25,2,bear,0.9830104577098816,0.016686520024984698,0.0003030062494589453,0.9830104577098816,3.869263213916219e-39,1.601562330283001e-08
2025-09-26,2,bear,0.9257571848564834,0.07386080137415506,0.0003820052092136979,0.9257571848564834,1.6650646987841331e-40,8.56016032877696e-09
2025-09-27,2,bear,0.7018374524584179,0.2976299158372931,0.0005326228788858288,0.7018374524584179,9.376022430170682e-40,8.825439035275758e-09
2025-09-28,0,sideways,0.9998272719643315,0.9998272719643315,0.00013005469227102165,4.212147035082489e-05,1.233451297210278e-37,5.518730190586788e-07
2025-09-29,0,sideways,0.9999947138190803,0.9999947138190803,3.0607541377583142e-06,1.2947154446154163e-11,7.25874306263535e-44,2.2254138755845137e-06
2025-09-30,0,sideways,0.9999996358663547,0.9999996358663547,3.3962277916474033e-07,2.056620735865787e-08,2.6445250080527555e-41,3.9447596117286686e-09
2025-10-01,0,sideways,0.9999999920798928,0.9999999920798928,6.8206262130938186e-09,8.85274097518758e-10,1.749109967198323e-44,2.1418031337614508e-10
2025-10-02,0,sideways,0.9999999753467822,0.9999999753467822,2.117626140159907e-08,1.0349197560509216e-10,2.09963764039467e-36,3.373410715285013e-09
2025-10-03,0,sideways,0.9997964713714934,0.9997964713714934,7.480713401725446e-05,3.158866844735154e-12,4.2631900428971436e-44,0.00012872149139451432
2025-10-04,0,sideways,0.9975631724927556,0.9975631724927556,0.0003827789234832318,7.13188872590863e-11,8.729468682056062e-40,0.002054048512400658
2025-10-05,0,sideways,0.9424978235938035,0.9424978235938035,0.005548596600078398,2.923365839447518e-13,9.441294549911449e-40,0.05195357980580314
2025-10-06,4,low-volatility,0.9976213579322211,0.0021286213124159254,0.00025002075533189604,9.278985289517201e-14,4.062030694732471e-91,0.9976213579322211
2025-10-07,4,low-volatility,0.9997120397512052,0.00026929315600863373,1.8661369220503668e-05,5.723522541109474e-09,2.3053892382964995e-53,0.9997120397512052
2025-10-08,4,low-volatility,0.9999501208849755,4.971730198000612e-05,1.6181298984781927e-07,1.0604493810627538e-21,4.943979762471078e-64,0.9999501208849755
2025-10-09,4,low-volatility,1.0,1.0225406222072084e-17,1.2376130664174441e-23,1.2507659184098246e-30,4.399721273595501e-57,1.0
2025-10-10,3,high-volatility,0.9999999999990905,7.24029183086626e-69,8.764866117102389e-28,1.9577457316913775e-53,0.9999999999990905,9.868309244779609e-13
2025-10-11,3,high-volatility,1.0,2.5381815086615875e-88,4.438038991858195e-38,1.6476878720314763e-47,1.0,1.4548724050922683e-19
2025-10-12,3,high-volatility,1.0,7.869791323982566e-97,1.6476878746524635e-47,3.588744057954875e-55,1.0,1.27951799674762e-16
2025-10-13,3,high-volatility,1.0,3.1815479495573423e-106,3.588744056375126e-55,1.031356142862203e-63,1.0,4.8994720551237354e-17
2025-10-14,3,high-volatility,1.0,6.317174293582934e-115,1.031356142862203e-63,1.0422854517008641e-76,1.0,6.3183623235055505e-16
2025-10-15,3,high-volatility,1.0,4.474570436594372e-126,1.0422854357875756e-76,1.059063578112162e-76,1.0,3.5304820091866184e-19
2025-10-16,3,high-volatility,1.0,1.8990749165074888e-129,1.0590635781032523e-76,4.694530010904591e-81,1.0,7.366088843374532e-15
2025-10-17,3,high-volatility,1.0,1.6780674900126414e-129,4.694529971337744e-81,5.723561620358695e-76,1.0,5.660088086696513e-16
2025-10-18,3,high-volatility,1.0,2.5690819099150777e-131,5.723561620354791e-76,5.440583690952955e-80,1.0,2.673612159577121e-15
2025-10-19,3,high-volatility,1.0,1.5160839530013662e-135,5.440583690951718e-80,1.146553237589087e-89,1.0,4.7678175341147015e-15
2025-10-20,3,high-volatility,1.0,1.023947632530296e-136,9.916215818685482e-90,7.675015321382215e-81,1.0,4.2744317031263967e-20
2025-10-21,3,high-volatility,1.0,5.280079347211352e-131,7.536607211438097e-81,8.098629474658857e-74,1.0,5.6215101748707044e-14
2025-10-22,3,high-volatility,0.9999999999952252,1.3403262593776815e-122,8.098629474655175e-74,7.481012080532992e-69,0.9999999999952252,4.673751061414215e-12
2025-10-23,3,high-volatility,1.0,3.689365722523007e-118,7.481012080267638e-69,8.640393871346113e-70,1.0,4.4006734827217886e-15
2025-10-24,3,high-volatility,1.0,3.487332970064549e-113,8.640391905813076e-70,7.880746464627143e-72,1.0,7.004085448148681e-16
2025-10-25,3,high-volatility,1.0,2.5023323741733432e-105,7.880746410885249e-72,3.711392291023314e-72,1.0,3.9142194042835455e-15
2025-10-26,3,high-volatility,1.0,8.909911681156734e-97,3.71139229102247e-72,2.84742797974296e-80,1.0,3.3089887118951505e-16
2025-10-27,3,high-volatility,1.0,1.1943802913339868e-97,2.4717800689439144e-80,2.271379134546069e-76,1.0,1.262277188384044e-21
2025-10-28,3,high-volatility,1.0,1.4778323041477548e-89,4.9350686900174895e-87,1.4763205405423016e-70,1.0,5.091782642466672e-21
2025-10-29,3,high-volatility,1.0,1.1744109374565817e-56,2.1133229808095922e-80,9.262483706799747e-57,1.0,1.1569709249274895e-20
2025-10-30,4,low-volatility,1.0,5.142493129937339e-31,4.248531454545409e-59,2.3097220429253373e-39,1.3906820342625265e-21,1.0
2025-10-31,4,low-volatility,1.0,1.4103531094357262e-15,6.980745093291408e-43,5.009399431019639e-25,2.2453285409354626e-20,1.0
2025-11-01,4,low-volatility,1.0,1.2183910284394938e-19,3.3819552208617915e-25,7.526211921323202e-26,1.0638957517477495e-21,1.0
2025-11-02,4,low-volatility,1.0,5.932186249816322e-23,7.524492300122506e-26,1.6682825250487001e-29,1.4234160266697835e-23,1.0
2025-11-03,4,low-volatility,1.0,6.030144730003283e-26,1.350037563116603e-29,2.409737946862485e-24,5.783910550713174e-20,1.0
2025-11-04,4,low-volatility,0.9999999997069153,2.3426404371589104e-29,2.409737944628104e-24,1.0343443666759228e-26,2.9310978153528737e-10,0.9999999997069153
2025-11-05,4,low-volatility,1.0,5.1346555108143084e-27,1.0343443651018452e-26,3.117912795966458e-29,9.305611144540381e-27,1.0
