date,state,regime,confidence,prob_bull,prob_high-volatility,prob_bear,prob_low-volatility
2025-08-06,0,bull,0.9999999988385753,0.9999999988385753,3.19019949922026e-12,3.044073255453339e-12,1.1552553073998946e-09
2025-08-07,0,bull,0.9999999999968168,0.9999999999968168,3.1901799287659494e-12,9.66005326130767e-18,1.4644167418742121e-30
2025-08-08,0,bull,0.9999999999968168,0.9999999999968168,3.190211009463545e-12,1.1927163998169657e-14,9.966512605083616e-49
2025-08-09,0,bull,0.9999999999968168,0.9999999999968168,3.203011072523633e-12,2.8082554960193204e-16,9.520921820484568e-49
2025-08-10,0,bull,0.9999731407211697,0.9999731407211697,1.2633423727068564e-11,2.6859266111288544e-05,9.309095344727817e-34
2025-08-11,2,bear,0.9918471911628125,0.008152808588513714,2.485934416024164e-10,0.9918471911628125,2.3220046221692242e-85
2025-08-12,2,bear,0.9999641980972963,2.539247174641318e-06,3.3262655462193644e-05,0.9999641980972963,7.597246914716908e-103
2025-08-13,2,bear,0.9999215180383573,1.6720879661869822e-07,7.83147528774777e-05,0.9999215180383573,1.3240464619515038e-78
2025-08-14,2,bear,0.9998749239440331,1.166694439077956e-06,0.00012390936159834318,0.9998749239440331,2.88620977225588e-82
2025-08-15,2,bear,0.9999832314648157,6.112986619067123e-08,1.6707405229356995e-05,0.9999832314648157,1.1878462950753923e-115
2025-08-16,2,bear,0.9999894731906087,7.658591582677574e-08,1.0450223588070083e-05,0.9999894731906087,1.4451204867646563e-132
2025-08-17,2,bear,0.999994699696294,4.4695325351981397e-07,4.853350494794397e-06,0.999994699696294,2.4713388500082984e-148
2025-08-18,2,bear,0.9999953551556344,8.408456877096675e-08,4.560759800478307e-06,0.9999953551556344,6.471550007356072e-165
2025-08-19,2,bear,0.9999743405284972,1.6349486913155373e-06,2.4024522764458538e-05,0.9999743405284972,2.103119446568292e-112
2025-08-20,2,bear,0.9999721017014883,3.75386781954609e-07,2.752291175435352e-05,0.9999721017014883,4.371712687416233e-114
