Asset,AssetID,Horizons,N_Horizons,Threshold,Sharpe,Return,WinRate,DA,Trades
Crude_Oil,1866,D4+D7+D10,3,0.1,2.595,1.45,22.2,22.2,9
Crude_Oil,1866,D4+D10,2,0.1,2.595,1.45,22.2,22.2,9
Crude_Oil,1866,D7+D9+D10,3,0.1,2.584,7.64,35.3,35.3,34
Crude_Oil,1866,D1+D2+D3+D5,4,0.2,2.529,2.2,36.4,36.4,11
Crude_Oil,1866,D6+D9,2,0.2,2.489,0.98,50.0,50.0,4
Crude_Oil,1866,D1+D5+D6+D10,4,0.1,2.437,2.43,35.7,35.7,14
Crude_Oil,1866,D2+D4+D7+D8,4,0.1,2.348,1.16,25.0,25.0,12
Crude_Oil,1866,D1+D5+D6,3,0.1,2.305,7.63,36.4,36.4,44
Crude_Oil,1866,D7+D8+D10,3,0.1,2.265,8.62,37.5,37.5,40
Crude_Oil,1866,D2+D9+D10,3,0.1,2.238,3.31,33.3,33.3,18
Crude_Oil,1866,D5+D8,2,0.1,2.235,7.45,33.3,33.3,33
Crude_Oil,1866,D1+D6+D7+D8,4,0.1,2.215,3.53,33.3,33.3,18
Crude_Oil,1866,D3+D5+D6+D10,4,0.1,2.148,1.54,38.5,38.5,13
Crude_Oil,1866,D2+D4+D6+D8,4,0.1,2.136,1.14,21.4,21.4,14
Crude_Oil,1866,D4+D9+D10,3,0.1,2.13,4.57,25.9,25.9,27
Crude_Oil,1866,D4+D8+D10,3,0.1,2.085,1.29,18.2,18.2,11
Crude_Oil,1866,D5+D7+D8+D10,4,0.1,2.076,4.02,31.8,31.8,22
Crude_Oil,1866,D7+D8,2,0.05,2.06,23.31,37.9,37.9,116
Crude_Oil,1866,D5+D6,2,0.2,2.003,7.66,37.2,37.2,43
Crude_Oil,1866,D1+D5+D7+D8,4,0.1,1.968,2.12,26.7,26.7,15
Crude_Oil,1866,D2+D7+D8,3,0.05,1.883,15.22,39.1,39.1,87
Crude_Oil,1866,D3+D4,2,0.2,1.827,2.92,41.7,41.7,24
Crude_Oil,1866,D5+D6+D7+D10,4,0.1,1.813,3.37,38.1,38.1,21
Crude_Oil,1866,D5+D9+D10,3,0.2,1.774,0.31,50.0,50.0,2
Crude_Oil,1866,D2+D5+D6,3,0.1,1.713,5.09,34.1,34.1,41
Crude_Oil,1866,D7+D10,2,0.1,1.707,5.39,35.1,35.1,37
Crude_Oil,1866,D5+D6+D10,3,0.1,1.682,5.04,39.4,39.4,33
Crude_Oil,1866,D1+D4,2,0.2,1.637,1.66,26.7,26.7,15
Crude_Oil,1866,D3+D7+D8,3,0.1,1.632,4.12,32.1,32.1,28
Crude_Oil,1866,D5+D6+D8,3,0.1,1.58,5.75,33.3,33.3,42
Crude_Oil,1866,D2+D3,2,0.1,1.54,13.38,42.3,42.3,104
Crude_Oil,1866,D9+D10,2,0.05,1.503,15.6,32.7,32.7,113
Crude_Oil,1866,D2+D3,2,0.3,1.422,2.94,35.7,35.7,28
Crude_Oil,1866,D4+D5+D7+D8,4,0.1,1.416,2.19,20.0,20.0,20
Crude_Oil,1866,D5+D6+D9,3,0.1,1.413,4.09,33.3,33.3,36
Crude_Oil,1866,D9+D10,2,0.1,1.401,9.49,30.9,30.9,81
Crude_Oil,1866,D5+D8+D10,3,0.1,1.383,2.21,26.3,26.3,19
Crude_Oil,1866,D1+D5+D8,3,0.1,1.359,1.9,31.6,31.6,19
Crude_Oil,1866,D7+D8+D9+D10,4,0.1,1.306,4.15,34.1,34.1,44
Crude_Oil,1866,D2+D3+D9+D10,4,0.05,1.284,8.42,38.2,38.2,76
Crude_Oil,1866,D2+D5+D6+D10,4,0.05,1.212,8.06,38.7,38.7,75
Crude_Oil,1866,D3+D4+D6,3,0.1,1.203,2.74,35.3,35.3,34
Crude_Oil,1866,D2+D4+D6+D9,4,0.1,1.2,0.47,60.0,60.0,5
Crude_Oil,1866,D3+D5+D6+D8,4,0.05,1.176,7.99,35.1,35.1,77
Crude_Oil,1866,D2+D4+D6,3,0.1,1.159,3.48,39.5,39.5,43
Crude_Oil,1866,D2+D6,2,0.1,1.159,3.48,39.5,39.5,43
Crude_Oil,1866,D2+D6+D8,3,0.1,1.154,1.72,27.8,27.8,18
Crude_Oil,1866,D6+D10,2,0.1,1.149,2.06,34.5,34.5,29
